H&M_Image_ID,H&M_Review
3ebb4ea2-23b1-4880-ae90-075fe22c40ba,"De grootte van het vest en dus maat zijn ok, maar de mouwen zijn te kort. De laatste jaren lijkt dit bij alle capuchonvesten van h&m het geval te zijn.. Zelfs als je de vesten twee maten te groot besteld zijn de mouwen nog te kort.. Is dit de nieuwe standaard 'fit'?"
3ebb4ea2-23b1-4880-ae90-075fe22c40ba,Mooie kleur en kwaliteit. Ik draag als vrouw XL en wou een mannenvest proberen omdat je als vrouw tegenwoordig (bijna) niks kan vinden die een normale lengte heeft. Deze was iets te groot voor mij daarom geruild met een M. Ben er blij mee.
3ebb4ea2-23b1-4880-ae90-075fe22c40ba,Mooie kleur en kwaliteit. Ik draag als vrouw XL en wou een mannenvest proberen omdat je als vrouw tegenwoordig (bijna) niks kan vinden die een normale lengte heeft. Deze was iets te groot voor mij daarom geruild met een M. Ben er blij mee
3ebb4ea2-23b1-4880-ae90-075fe22c40ba,"Valt tegen, maar dat is een kwestie van smaak denk ik ☺️ Verder helemaal prima qua kwaliteit, de kleur is gelijk aan die op de foto De zakken zijn wel iets te klein."
3ebb4ea2-23b1-4880-ae90-075fe22c40ba,"Ik ben een vrouw en heb normaal S. Deze in een M voor een oversized look. Precies wat ik er van had verwacht. Mooi oversized, goede kwaliteit, lekker warm. PERFECT"
3ebb4ea2-23b1-4880-ae90-075fe22c40ba,"Een hele lekkere warme stof van binnen. Zit ook nog eens mooi! Ook vrouwen kunnen deze vest dragen, heb zelf een maatje xs genomen omdat hij wat groter valt."
3ebb4ea2-23b1-4880-ae90-075fe22c40ba,Dit is de beste vest aller tijden. Lang maar precies wat ik zocht. Goede capuchon (comfortabel met koptelefoon op). zacht aan de binnenkant en grote zakken
3ebb4ea2-23b1-4880-ae90-075fe22c40ba,"Maat kleiner besteld voor normale pasvorm. Hij had van mij iets langer mogen zijn. Binnenkant pluist heel erg, na wassen is het een stuk beter."
3ebb4ea2-23b1-4880-ae90-075fe22c40ba,"Kwalitatief mooi vest. Heb hem als vrouw zijnde besteld, maar wil hem een maatje groter bestellen zodat het vest iets meer oversized valt."
3ebb4ea2-23b1-4880-ae90-075fe22c40ba,"Ik ben een vrouw 1,77 rond de 64 kilo. Kleur is erg mooi, mouwen zijn wel een klein beetje kort, voor de rest is het een mooi model."
8c9be397-d301-4d4e-a123-97b1cd9e11c9,"Heerlijke hoodie met een oversized look. Zit lekker. Goede prijs-kwaliteitsverhouding. Kleur komt overeen met de kleur op de foto. Zit wel erg ruim. Ik heb normaal maat s/m, maar ben blij dat ik voor een s ben gegaan, want de hoodie zit erg ruim en oogt oversized. Ik zou aanraden een maatje kleiner te bestellen dan je gewend bent. Voor de rest een mooie, zachte hoodie voor een mooie prijs!"
8c9be397-d301-4d4e-a123-97b1cd9e11c9,"Deze gecombineerd met de bijpassende joggers, zijn het nieuwe lievelingspak van mijn man. Zondagochtenden kijk ik standaard tegen deze prachtige kleur aan, want hij draagt hem echt heel graag. Wat leuk is, is dat deze trui ook gewoon prima te dragen is. Met de joggers is her een perfect huispak, maar op een spijkerbroek is het ook gewoon een lekker outfitje!"
8c9be397-d301-4d4e-a123-97b1cd9e11c9,"I liked the product, the quality is good and the color is as in the pictures. I just expected it to be more on the oversized side. I am a small girl (161 cm) and bought an S, which turned out to fit me just right, which I did not expect. So if you want it to be larger, I would suggest you size up a bit."
8c9be397-d301-4d4e-a123-97b1cd9e11c9,"Ik (vrouw) heb deze herentrui besteld en wat zit ie heerlijk! Ik heb normaal maat S/M en nu een XS besteld. Zit top, iets te groot maar dit vind ik juist fijn en hij is wel mooi aansluitend. En niet zo kort en wijd als het vrouwenmodel. Ook een aanrader voor vrouwen dus!"
8c9be397-d301-4d4e-a123-97b1cd9e11c9,"Gekozen omdat dit model langer valt dan die voor vrouwen. Had wel maat kleiner gedaan dan ik bij de damesmaten heb, en dat paste goed op de mouwen na, die waren voor mij echt veel te lang. Jammer want het is echt mooie kwaliteit, lekker zacht en goed afgewerkt."
8c9be397-d301-4d4e-a123-97b1cd9e11c9,"Ik heb normaal maat M of L en en ben nu voor een herenhoodie gegaan maat XL voor een lekkere oversized baggy hoodie. Maar vanwege de relax fit had ik beter een L kunnen nemen, omdat ik hierin zwem, hihi. Toch een lekker zittende hoodie! I’ll keep it!"
8c9be397-d301-4d4e-a123-97b1cd9e11c9,"Prima , comfortabele trui. Hoewel dit een mannenproduct is, uitstekend door vrouwen te dragen, zeker omdat deze trui net iets langer valt dan de dames capuchon trui. Mooie kleur, nog iets warmer / mooier dan op de foto. Erg blij met deze aankoop."
8c9be397-d301-4d4e-a123-97b1cd9e11c9,"deze besteld voor mezelf (als vrouw) heb een XS besteld aangezien mannen maten wat groter kunnen vallen. heb zelf normaal S in vrouwen maten. en deze past perfect, precies oversized genoeg. hele mooie kleur en zit super lekker"
8c9be397-d301-4d4e-a123-97b1cd9e11c9,"deze besteld voor mezelf (als vrouw) heb een XS besteld aangezien mannen maten wat groter kunnen vallen. heb zelf normaal S in vrouwen maten. en deze past perfect, precies oversized genoeg. hele mooie kleur en zit super lekker"
8c9be397-d301-4d4e-a123-97b1cd9e11c9,Ben zelf een dame dus deze 2 maten kleiner besteld. Heb een andere die 1 maat kleiner is maar die valt nog een beetje groot uit. Maar het stoort niet. Voor een oversized look kun je beter 1 maat kleiner pakken.
00687efd-b2da-44ce-8208-b534b8e7a3cb,"Heerlijke hoodie met een oversized look. Zit lekker. Goede prijs-kwaliteitsverhouding. Kleur komt overeen met de kleur op de foto. Zit wel erg ruim. Ik heb normaal maat s/m, maar ben blij dat ik voor een s ben gegaan, want de hoodie zit erg ruim en oogt oversized. Ik zou aanraden een maatje kleiner te bestellen dan je gewend bent. Voor de rest een mooie, zachte hoodie voor een mooie prijs!"
00687efd-b2da-44ce-8208-b534b8e7a3cb,"Deze gecombineerd met de bijpassende joggers, zijn het nieuwe lievelingspak van mijn man. Zondagochtenden kijk ik standaard tegen deze prachtige kleur aan, want hij draagt hem echt heel graag. Wat leuk is, is dat deze trui ook gewoon prima te dragen is. Met de joggers is her een perfect huispak, maar op een spijkerbroek is het ook gewoon een lekker outfitje!"
00687efd-b2da-44ce-8208-b534b8e7a3cb,"I liked the product, the quality is good and the color is as in the pictures. I just expected it to be more on the oversized side. I am a small girl (161 cm) and bought an S, which turned out to fit me just right, which I did not expect. So if you want it to be larger, I would suggest you size up a bit."
00687efd-b2da-44ce-8208-b534b8e7a3cb,"Ik (vrouw) heb deze herentrui besteld en wat zit ie heerlijk! Ik heb normaal maat S/M en nu een XS besteld. Zit top, iets te groot maar dit vind ik juist fijn en hij is wel mooi aansluitend. En niet zo kort en wijd als het vrouwenmodel. Ook een aanrader voor vrouwen dus!"
00687efd-b2da-44ce-8208-b534b8e7a3cb,"Gekozen omdat dit model langer valt dan die voor vrouwen. Had wel maat kleiner gedaan dan ik bij de damesmaten heb, en dat paste goed op de mouwen na, die waren voor mij echt veel te lang. Jammer want het is echt mooie kwaliteit, lekker zacht en goed afgewerkt."
00687efd-b2da-44ce-8208-b534b8e7a3cb,"Ik heb normaal maat M of L en en ben nu voor een herenhoodie gegaan maat XL voor een lekkere oversized baggy hoodie. Maar vanwege de relax fit had ik beter een L kunnen nemen, omdat ik hierin zwem, hihi. Toch een lekker zittende hoodie! I’ll keep it!"
00687efd-b2da-44ce-8208-b534b8e7a3cb,"Prima , comfortabele trui. Hoewel dit een mannenproduct is, uitstekend door vrouwen te dragen, zeker omdat deze trui net iets langer valt dan de dames capuchon trui. Mooie kleur, nog iets warmer / mooier dan op de foto. Erg blij met deze aankoop."
00687efd-b2da-44ce-8208-b534b8e7a3cb,"deze besteld voor mezelf (als vrouw) heb een XS besteld aangezien mannen maten wat groter kunnen vallen. heb zelf normaal S in vrouwen maten. en deze past perfect, precies oversized genoeg. hele mooie kleur en zit super lekker"
00687efd-b2da-44ce-8208-b534b8e7a3cb,"deze besteld voor mezelf (als vrouw) heb een XS besteld aangezien mannen maten wat groter kunnen vallen. heb zelf normaal S in vrouwen maten. en deze past perfect, precies oversized genoeg. hele mooie kleur en zit super lekker"
00687efd-b2da-44ce-8208-b534b8e7a3cb,Ben zelf een dame dus deze 2 maten kleiner besteld. Heb een andere die 1 maat kleiner is maar die valt nog een beetje groot uit. Maar het stoort niet. Voor een oversized look kun je beter 1 maat kleiner pakken.
47572a78-353b-4594-9af4-134a6e74c34b,"Heerlijke hoodie met een oversized look. Zit lekker. Goede prijs-kwaliteitsverhouding. Kleur komt overeen met de kleur op de foto. Zit wel erg ruim. Ik heb normaal maat s/m, maar ben blij dat ik voor een s ben gegaan, want de hoodie zit erg ruim en oogt oversized. Ik zou aanraden een maatje kleiner te bestellen dan je gewend bent. Voor de rest een mooie, zachte hoodie voor een mooie prijs!"
47572a78-353b-4594-9af4-134a6e74c34b,"Deze gecombineerd met de bijpassende joggers, zijn het nieuwe lievelingspak van mijn man. Zondagochtenden kijk ik standaard tegen deze prachtige kleur aan, want hij draagt hem echt heel graag. Wat leuk is, is dat deze trui ook gewoon prima te dragen is. Met de joggers is her een perfect huispak, maar op een spijkerbroek is het ook gewoon een lekker outfitje!"
47572a78-353b-4594-9af4-134a6e74c34b,"I liked the product, the quality is good and the color is as in the pictures. I just expected it to be more on the oversized side. I am a small girl (161 cm) and bought an S, which turned out to fit me just right, which I did not expect. So if you want it to be larger, I would suggest you size up a bit."
