Wehkamp_Image_ID,Wehkamp_Review
70acd26a-09f7-48f1-a7d4-baad84b07eba,"goede kwaliteit trui , inderdaad een maat groter nemen dan past het uitstekend. kleur is echter donkerblauw en geen zwart"
e2ffb162-df29-4ed6-9b0f-fdc8b53821b1,"goede kwaliteit trui , inderdaad een maat groter nemen dan past het uitstekend. kleur is echter donkerblauw en geen zwart"
69f67598-acf2-478a-aea6-a8b5271007a4,"Maat ,materiaal ,model zeer fijn. Voor casual en speciale gelegenheden"
f6997fd1-3313-49fa-a65b-f460fb68ead8,"Leuke trui voor het voorjaar met goede pasvorm, heb ook de mintgroene!"
f6997fd1-3313-49fa-a65b-f460fb68ead8,"Leuke trui, maar bij elke wasbeurt krimpt de trui een maat kleiner."
f6997fd1-3313-49fa-a65b-f460fb68ead8,De kleur is prachtig. De stof is alleen erg dun en valt wat kort. Niet geschikt voor mannen met een beetje een lang bovenlichaam. Helaas retour
426fa1ff-6939-48e2-a45d-58c799d594d5,"Maat ,materiaal ,model zeer fijn. Voor casual en speciale gelegenheden"
8e3b127b-1ffd-4a77-9eae-5d01338401cb,"Leuke trui voor het voorjaar met goede pasvorm, heb ook de mintgroene!"
8e3b127b-1ffd-4a77-9eae-5d01338401cb,"Leuke trui, maar bij elke wasbeurt krimpt de trui een maat kleiner."
8e3b127b-1ffd-4a77-9eae-5d01338401cb,De kleur is prachtig. De stof is alleen erg dun en valt wat kort. Niet geschikt voor mannen met een beetje een lang bovenlichaam. Helaas retour
86d0c29f-f06b-430e-a3ec-840f9546e24f,"Leuke trui voor het voorjaar met goede pasvorm, heb ook de mintgroene!"
86d0c29f-f06b-430e-a3ec-840f9546e24f,"Leuke trui, maar bij elke wasbeurt krimpt de trui een maat kleiner."
86d0c29f-f06b-430e-a3ec-840f9546e24f,De kleur is prachtig. De stof is alleen erg dun en valt wat kort. Niet geschikt voor mannen met een beetje een lang bovenlichaam. Helaas retour
c7cf5611-bd7e-42cb-8c1b-e227beaae7a5,"Maat ,materiaal ,model zeer fijn. Voor casual en speciale gelegenheden"
5d324762-6949-4665-a5bf-3c9cedca8279,"Trui bevalt goed. Netjes, mooi materiaal en goede pasvorm. Gewoon goed en voor mooie prijs."
5d324762-6949-4665-a5bf-3c9cedca8279,"Gewoon mooie trui, goede kwaliteit prijsverhouding"
5d324762-6949-4665-a5bf-3c9cedca8279,Een prima trui van goede kwaliteit en een perfecte pasvorm
dd080bb3-15fe-4ff3-b78e-cb1dbffc4c14,prachtige trui ..mooie kleur maar te kort voor een langere man (1.94) jammer.
dd080bb3-15fe-4ff3-b78e-cb1dbffc4c14,"mooie trui. Hele mooie stof, valt goed, ziet er casual maar ook chique uit"
dd080bb3-15fe-4ff3-b78e-cb1dbffc4c14,Zit mooi en valt mooi. Ook de rug is lang genoeg bij dit merk
e512f9c7-ea14-412c-8d3d-da3eae3b7ff1,prachtige trui ..mooie kleur maar te kort voor een langere man (1.94) jammer.
e512f9c7-ea14-412c-8d3d-da3eae3b7ff1,"mooie trui. Hele mooie stof, valt goed, ziet er casual maar ook chique uit"
e512f9c7-ea14-412c-8d3d-da3eae3b7ff1,Zit mooi en valt mooi. Ook de rug is lang genoeg bij dit merk
ddfe1329-b9a8-48bd-975d-00fefd86c691,"Trui bevalt goed. Netjes, mooi materiaal en goede pasvorm. Gewoon goed en voor mooie prijs."
ddfe1329-b9a8-48bd-975d-00fefd86c691,"Gewoon mooie trui, goede kwaliteit prijsverhouding"
ddfe1329-b9a8-48bd-975d-00fefd86c691,Een prima trui van goede kwaliteit en een perfecte pasvorm
4cae58e3-6886-40b6-8c75-543f434964f0,"goede kwaliteit trui , inderdaad een maat groter nemen dan past het uitstekend. kleur is echter donkerblauw en geen zwart"
3fbb74f2-ed46-4e1e-af17-a7fe942ba275,Dit artikel heeft een lekkere pasvorm zit als aan gegoten en ben zeer tevreden.
913c7e70-3daf-4c63-b295-4743c2c9267c,"Trui bevalt goed. Netjes, mooi materiaal en goede pasvorm. Gewoon goed en voor mooie prijs."
913c7e70-3daf-4c63-b295-4743c2c9267c,"Gewoon mooie trui, goede kwaliteit prijsverhouding"
913c7e70-3daf-4c63-b295-4743c2c9267c,Een prima trui van goede kwaliteit en een perfecte pasvorm
71313793-8cfc-44fc-831f-88461f38043c,Dit artikel heeft een lekkere pasvorm zit als aan gegoten en ben zeer tevreden.
22571835-fd65-461e-a462-4ea092c48a81,"Trui bevalt goed. Netjes, mooi materiaal en goede pasvorm. Gewoon goed en voor mooie prijs."
22571835-fd65-461e-a462-4ea092c48a81,"Gewoon mooie trui, goede kwaliteit prijsverhouding"
22571835-fd65-461e-a462-4ea092c48a81,Een prima trui van goede kwaliteit en een perfecte pasvorm
