Zalando_Image_ID,Zalando_Review
39d8490c-8d25-4d90-a8b9-6578ae02c31e,"Mooie trui, goede pasvorm, ik ben aan de lange kant (1.97, smal postuur), heb maat L besteld en die zit perfect! Zoals de meeste producten van dit merk zitten ze prima voor wat langere&#x2F;smallere posturen."
39d8490c-8d25-4d90-a8b9-6578ae02c31e,Te dun om het een trui te noemen.
39d8490c-8d25-4d90-a8b9-6578ae02c31e,"Leuke trui, t- shirt met lange mouwen. Echt wat voor de met wat warmere dagen"
39d8490c-8d25-4d90-a8b9-6578ae02c31e,"Na 1 keer dragen al een losse naad onder de oksel. Niet een echte aanrader dus.. Echter is het wel een heerlijke trui,maar dan moet de kwaliteit wel wat beter..."
39d8490c-8d25-4d90-a8b9-6578ae02c31e,"Leuke trui, maar beetje dunne stof en aan de korte kant (maat M). Kleur klopt niet, in het echt veel donkerder."
39d8490c-8d25-4d90-a8b9-6578ae02c31e,Top
39d8490c-8d25-4d90-a8b9-6578ae02c31e,"Zit wel wat strak, zou een maatje groter bestellen"
39d8490c-8d25-4d90-a8b9-6578ae02c31e,Goed en confortabel
39d8490c-8d25-4d90-a8b9-6578ae02c31e,Goed
39d8490c-8d25-4d90-a8b9-6578ae02c31e,Mooie nette trui
17eb1dd8-e7f9-4f03-9fce-7c50ecaf9c8f,"Voor deze prijs zeker een aanrader. Echter vind ik persoonlijk de pasvorm niet helemaal ideaal. Ik ben 1.93 en nam een L. De lengte is goed, maar de mouwlengte is iets te lang voor mij. Verder is de pasvorm aan onderkant romp wat ruim voor mij."
17eb1dd8-e7f9-4f03-9fce-7c50ecaf9c8f,"Mooie trui voor de prijs en past perfect. Ben breed in de schouders, maar verder slank gebouwd. Toch sluit de trui goed aan waardoor hij mooi afkleed."
17eb1dd8-e7f9-4f03-9fce-7c50ecaf9c8f,Model viel veel te kort (ben zelf 1m83). Misschien een beter model voor mensen met een kort bovenlichaam. Tailleert strak
17eb1dd8-e7f9-4f03-9fce-7c50ecaf9c8f,"bevalt erg goed, normaal maat M/L, afhankelijk van het model, bij deze een L nodig"
17eb1dd8-e7f9-4f03-9fce-7c50ecaf9c8f,Leuke trui om te zien maar na 1 keer dragen helemaal uit model.
17eb1dd8-e7f9-4f03-9fce-7c50ecaf9c8f,"Op zich is de pull wel ok, zeker voor de prijs, maar niet echt mijn ding. Iets te aansluitend."
17eb1dd8-e7f9-4f03-9fce-7c50ecaf9c8f,Goede kwaliteit Past perfect
17eb1dd8-e7f9-4f03-9fce-7c50ecaf9c8f,Prijs kwaliteit goed Past perfect
17eb1dd8-e7f9-4f03-9fce-7c50ecaf9c8f,Nice classic sweater Too much fluff
17eb1dd8-e7f9-4f03-9fce-7c50ecaf9c8f,"Nice, classic sweater. Would recommend. Fluff everywhere the first couples of days"
7b3f411c-d81a-44bc-860a-0cb301058199,Beschadigd een gat in de trui
7b3f411c-d81a-44bc-860a-0cb301058199,De kleur was minder 'fris lime groen' dan ik had verwacht op basis van de website. Trui was ook dunner dan verwacht. TH maatvoering valt klein uit: mijn man draagt meestal XXL maar de bestelde 3XL was te klein. Zodoende retour.
7b3f411c-d81a-44bc-860a-0cb301058199,Maat kleiner bestellen
7b3f411c-d81a-44bc-860a-0cb301058199,Mooie trui met een goede pasvorm. Iets kleiner dan je verwacht van een L.
7b3f411c-d81a-44bc-860a-0cb301058199,Super mooi
7b3f411c-d81a-44bc-860a-0cb301058199,Mooie kleur zit prima
7b3f411c-d81a-44bc-860a-0cb301058199,De trui is mooi en maat is precies goed. Alleen jammer dat je snel haaltjes in het materiaal krijgt. Heb hem pas 1 keer gedragen en ben benieuwd hoe het er uit ziet als je hem 10 keer gewassen hebt.
7b3f411c-d81a-44bc-860a-0cb301058199,"Maat is prima, alleen de kleuren zijn anders dan op de foto. In werkelijkheid is de trui veel groener en daar had ik niet voor gekozen."
7b3f411c-d81a-44bc-860a-0cb301058199,Perfect
7b3f411c-d81a-44bc-860a-0cb301058199,Fijne trui. Gaat wel snel pluizen. Valt normaal.
c821af92-e8b2-485e-9e53-ab95b123e5d4,Kwaliteit niet super goed
c2762cdf-56f5-4b89-943e-2473c269d456,Maatje kleiner pakken en top trui
c2762cdf-56f5-4b89-943e-2473c269d456,"If there was an option to give this even more of a worse rating, I would select that option! I ordered a BLACK shirt, not DARK PURPLE! How can you get this so wrong? I was desperate and short of time and had no choice in wearing the one you sent! And I did not want the hassle of returning the item ... Meer"
c2762cdf-56f5-4b89-943e-2473c269d456,"Zit niet mooi, rare pasvorm, veroorzaakt plooien."
c2762cdf-56f5-4b89-943e-2473c269d456,zat niet zo mooi bij mijn zoon. Hierdoor retour
c2762cdf-56f5-4b89-943e-2473c269d456,ok
c2762cdf-56f5-4b89-943e-2473c269d456,goeien kwaliteit ❤️🙏🏾
c2762cdf-56f5-4b89-943e-2473c269d456,Fijn gebreid materiaal. Staat stoer maar netjes op een Jeans.
c2762cdf-56f5-4b89-943e-2473c269d456,Ietwat wijd rond de buik en rug
c2762cdf-56f5-4b89-943e-2473c269d456,"Te klein van stuk, zat MEGA krap gelijk teruggestuurd!"
c2762cdf-56f5-4b89-943e-2473c269d456,"Goede en fijne trui, normale pasmaat bestellen."
5028c5bd-f6a7-412c-bb71-cb99ba3aa654,"Voor deze prijs zeker een aanrader. Echter vind ik persoonlijk de pasvorm niet helemaal ideaal. Ik ben 1.93 en nam een L. De lengte is goed, maar de mouwlengte is iets te lang voor mij. Verder is de pasvorm aan onderkant romp wat ruim voor mij."
5028c5bd-f6a7-412c-bb71-cb99ba3aa654,"Mooie trui voor de prijs en past perfect. Ben breed in de schouders, maar verder slank gebouwd. Toch sluit de trui goed aan waardoor hij mooi afkleed."
5028c5bd-f6a7-412c-bb71-cb99ba3aa654,Model viel veel te kort (ben zelf 1m83). Misschien een beter model voor mensen met een kort bovenlichaam. Tailleert strak
5028c5bd-f6a7-412c-bb71-cb99ba3aa654,"bevalt erg goed, normaal maat M/L, afhankelijk van het model, bij deze een L nodig"
5028c5bd-f6a7-412c-bb71-cb99ba3aa654,Leuke trui om te zien maar na 1 keer dragen helemaal uit model.
5028c5bd-f6a7-412c-bb71-cb99ba3aa654,"Op zich is de pull wel ok, zeker voor de prijs, maar niet echt mijn ding. Iets te aansluitend."
5028c5bd-f6a7-412c-bb71-cb99ba3aa654,Goede kwaliteit Past perfect
5028c5bd-f6a7-412c-bb71-cb99ba3aa654,Prijs kwaliteit goed Past perfect
5028c5bd-f6a7-412c-bb71-cb99ba3aa654,Nice classic sweater Too much fluff
5028c5bd-f6a7-412c-bb71-cb99ba3aa654,"Nice, classic sweater. Would recommend. Fluff everywhere the first couples of days"
d693f478-85b3-4952-a37b-70cb60c15b4c,Beschadigd een gat in de trui
