Zalando_Image_ID,Zalando_Review
115a60de-6a45-4c14-8d1a-31731e066a49,Goede pasvorm. Mooie kwaliteit
115a60de-6a45-4c14-8d1a-31731e066a49,"Mooie vorm, goede kwaliteit"
115a60de-6a45-4c14-8d1a-31731e066a49,Mooie pasvorm. Goede kwaliteit
115a60de-6a45-4c14-8d1a-31731e066a49,"korte mouwen, patches op elleboog erg stug."
115a60de-6a45-4c14-8d1a-31731e066a49,Do not buy. Good was damaged and stitches were crooked.
115a60de-6a45-4c14-8d1a-31731e066a49,Ik heb de trui direct terug gestuurd de kleur valt heel licht uit. En de kwaliteit daar ben ik niet tevreden over.
115a60de-6a45-4c14-8d1a-31731e066a49,"Fijne trui,wel nog niet gewassen"
115a60de-6a45-4c14-8d1a-31731e066a49,"Falls small, get a size bigger"
115a60de-6a45-4c14-8d1a-31731e066a49,"Goede trui voor de prijs, rekt wel een beetje na het dragen, maar na het wassen komt dat wellicht weer goed. Normale pasvorm maar mocht iets meer gecentreerd zijn."
90033166-89f8-4d6d-9056-5757ee926499,"Prima coltrui, het ritsje is een leuke toevoeging."
90033166-89f8-4d6d-9056-5757ee926499,"Erg mooie trui, valt goed op maat"
5f79d150-4545-4ad8-8770-45aac871953b,"Mooie trui, goede pasvorm, ik ben aan de lange kant (1.97, smal postuur), heb maat L besteld en die zit perfect! Zoals de meeste producten van dit merk zitten ze prima voor wat langere&#x2F;smallere posturen."
5f79d150-4545-4ad8-8770-45aac871953b,Te dun om het een trui te noemen.
5f79d150-4545-4ad8-8770-45aac871953b,"Leuke trui, t- shirt met lange mouwen. Echt wat voor de met wat warmere dagen"
5f79d150-4545-4ad8-8770-45aac871953b,"Na 1 keer dragen al een losse naad onder de oksel. Niet een echte aanrader dus.. Echter is het wel een heerlijke trui,maar dan moet de kwaliteit wel wat beter..."
5f79d150-4545-4ad8-8770-45aac871953b,"Leuke trui, maar beetje dunne stof en aan de korte kant (maat M). Kleur klopt niet, in het echt veel donkerder."
5f79d150-4545-4ad8-8770-45aac871953b,Top
5f79d150-4545-4ad8-8770-45aac871953b,"Zit wel wat strak, zou een maatje groter bestellen"
5f79d150-4545-4ad8-8770-45aac871953b,Goed en confortabel
5f79d150-4545-4ad8-8770-45aac871953b,Goed
5f79d150-4545-4ad8-8770-45aac871953b,Mooie nette trui
